ideDesempenhoConcessionaria,dscIndicadorDesempenho,vlrDeducaoReceita,dscPeriodoReferencia,dthProcessamento
1,Adicional à Receita Adicional Permitida - Concessionarias nao licitadas/Outros,14607726.54,jun09-mai10,13/09/2017 00:00:00
2,Adicional à Receita Adicional Permitida - Concessionarias nao licitadas/Outros,11652743.11,jun10-mai11,13/09/2017 00:00:00
3,Adicional à Receita Adicional Permitida - Concessionarias nao licitadas/Outros,11392425.78,jun11-mai12,13/09/2017 00:00:00
4,Adicional à Receita Adicional Permitida - Concessionarias nao licitadas/Outros,5351322.92,jun12-mai13,13/09/2017 00:00:00
5,Adicional à Receita Adicional Permitida - Concessionarias nao licitadas/Outros,5161.57,jun13-mai14,13/09/2017 00:00:00
6,Adicional à Receita Adicional Permitida - Concessionarias nao licitadas/Outros,24979.98,jun14-mai15,13/09/2017 00:00:00
7,Adicional à Receita Adicional Permitida - Concessionarias nao licitadas/Outros,18910.01,jun15-Mai16,13/09/2017 00:00:00
8,Adicional à Receita Adicional Permitida - Concessionarias não licitadas/Outros,13132.51,jun16-mai17,13/09/2017 00:00:00
9,Parcela Variavel de deducao da Receita - Concessionarias licitadas,-23877580.79,jun09-mai10,13/09/2017 00:00:00
10,Parcela Variavel de deducao da Receita - Concessionarias licitadas,-18653141.42,jun10-mai11,13/09/2017 00:00:00
11,Parcela Variavel de deducao da Receita - Concessionarias licitadas,-18278248.83,jun11-mai12,13/09/2017 00:00:00
12,Parcela Variavel de deducao da Receita - Concessionarias licitadas,-54109561.23,jun12-mai13,13/09/2017 00:00:00
13,Parcela Variavel de deducao da Receita - Concessionarias licitadas,-120740480.42,jun13-mai14,13/09/2017 00:00:00
14,Parcela Variavel de deducao da Receita - Concessionarias licitadas,-112481367.87,jun14-mai15,13/09/2017 00:00:00
15,Parcela Variavel de deducao da Receita - Concessionarias licitadas,-138232731.31,jun15-Mai16,13/09/2017 00:00:00
16,Parcela Variavel de deducao da Receita - Concessionarias nao licitadas/Outros,-51967418.06,jun09-mai10,13/09/2017 00:00:00
17,Parcela Variavel de deducao da Receita - Concessionarias nao licitadas/Outros,-42151266.94,jun10-mai11,13/09/2017 00:00:00
18,Parcela Variavel de deducao da Receita - Concessionarias nao licitadas/Outros,-58997373.13,jun11-mai12,13/09/2017 00:00:00
19,Parcela Variavel de deducao da Receita - Concessionarias nao licitadas/Outros,-63201122.62,jun12-mai13,13/09/2017 00:00:00
20,Parcela Variavel de deducao da Receita - Concessionarias nao licitadas/Outros,-873933.84,jun13-mai14,13/09/2017 00:00:00
21,Parcela Variavel de deducao da Receita - Concessionarias nao licitadas/Outros,-1542834.69,jun14-mai15,13/09/2017 00:00:00
22,Parcela Variavel de deducao da Receita - Concessionarias nao licitadas/Outros,-310869.55,jun15-Mai16,13/09/2017 00:00:00
23,Parcela Variavel de deducao da Receita - Concessionarias prorrogadas,,jun09-mai10,13/09/2017 00:00:00
24,Parcela Variavel de deducao da Receita - Concessionarias prorrogadas,,jun10-mai11,13/09/2017 00:00:00
25,Parcela Variavel de deducao da Receita - Concessionarias prorrogadas,,jun11-mai12,13/09/2017 00:00:00
26,Parcela Variavel de deducao da Receita - Concessionarias prorrogadas,,jun12-mai13,13/09/2017 00:00:00
27,Parcela Variavel de deducao da Receita - Concessionarias prorrogadas,-50186003.22,jun13-mai14,13/09/2017 00:00:00
28,Parcela Variavel de deducao da Receita - Concessionarias prorrogadas,-63855566.30,jun14-mai15,13/09/2017 00:00:00
29,Parcela Variavel de deducao da Receita - Concessionarias prorrogadas,-78373425.34,jun15-Mai16,13/09/2017 00:00:00
30,Parcela Veriavel de deducao da Receita - Concessionarias licitadas,-114338714.33,jun16-mai17,13/09/2017 00:00:00
31,Parcela Veriavel de deducao da Receita - Concessionarias não licitadas/Outros,-49234.80,jun16-mai17,13/09/2017 00:00:00
32,Parcela Veriavel de deducao da Receita - Concessionarias prorrogadas,-38467324.93,jun16-mai17,13/09/2017 00:00:00
